Latitude;Longitude
10.2921714783;123.8601379395
11.9630368829;121.9270939752
7.0840195;125.50792
10.7253157311;122.5371037424
14.5367082052;121.2740810215
7.0874417;125.51454147
7.7628950556;125.00827025
7.65202163;125.98101519
15.34957558;120.57311789
7.1113603;125.3438821
7.0839798184;125.5080546833
7.8632306997;125.0519065
7.070114;125.610911
7.4743089359;125.8416192794
7.3527392997;125.7950225
7.3541631;125.7923392997
7.3546716667;125.7945466667
7.3543444444;125.7941694444
7.4842099248;125.8365011215
7.4393716667;125.8279283333
7.3528283333;125.7907116667
7.3558277778;125.8567916667
7.4709570046;125.847441212
7.3558277778;125.8567916667
13.3059103611;121.0601229694
7.0866274833;125.7076416014
10.0804888889;118.8300944444
10.0802972222;118.8309388889
10.1559694444;118.8915777778
